sigma_meta,replicate,mean_conf_R1,mean_conf_R2,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,meta_d,M_ratio
0.001,0,0.7543635419579023,0.7549973961462966,0.25394974291959355,0.25305100109872114,0.5045032858322556,0.502717821525294,1.9866264877141189,1.0037838359892848
0.001,1,0.7619680315658091,0.759209951118706,0.24638802341036833,0.25263955086607714,0.4849843360849678,0.4972896943189359,1.968376260225963,0.984336381394154
0.001,2,0.7557581573896354,0.7619238156209988,0.2525535151805577,0.24618569209356245,0.503636535897267,0.49093796641409,1.9941774935787488,1.001045501511035
0.001,3,0.7564648249277225,0.7578498565508448,0.2508252953032375,0.25117142562524963,0.506427908528402,0.5071267617076356,2.019046396082785,1.0000169092414712
0.001,4,0.7610166099659796,0.7585048970617629,0.24422570222742457,0.24727168391396015,0.5015691586581787,0.5078247265933717,2.053711603994547,1.0232052533224527
0.001,5,0.7591374706046474,0.7610292641804826,0.25022836483122274,0.24657568288027534,0.49812991861344075,0.49085852008844355,1.99070124983403,0.9982006941408853
0.001,6,0.7589847796637182,0.7590554975503976,0.2512635469214353,0.24895576739927247,0.49752196100568197,0.49295237258944336,1.9800801473253353,0.9932796865316085
0.001,7,0.7554889022195561,0.7587117423484697,0.2500908145262461,0.2470749575196482,0.5123965331230692,0.5062175190017268,2.0488418740756873,1.0224685314451376
0.001,8,0.7592368992996861,0.7572950624155204,0.24848853393057968,0.25337183000579283,0.4945674266822282,0.5042866645699623,1.9903028073737827,0.9919433389777474
0.001,9,0.7582583178014831,0.7582617116571844,0.2520417682179875,0.24775469145880705,0.5037319598758139,0.4951637864603176,1.9986050861226419,1.001368043047914
0.001,10,0.7581085420680796,0.7586894132653061,0.24608090158708149,0.24746666042493443,0.5052689626205235,0.5081142908273384,2.0532636192480878,1.0269373375902544
0.001,11,0.7607477383716276,0.7581341434167399,0.24679044925731455,0.24997999418056985,0.495573434006161,0.501978275584477,2.0080737949848877,1.0033654901707159
0.001,12,0.7574082972929681,0.7600687230302061,0.2518447725834334,0.2493329902020974,0.5001438371640309,0.4951556356403871,1.985921057775137,0.9908197928636507
0.001,13,0.7586151691014609,0.7555066959824106,0.2482790443827372,0.25170200407820115,0.500596674405093,0.5074982727434949,2.0162663169969064,1.0112133984780578
0.001,14,0.7578829727787978,0.7535476629519763,0.2503223769359438,0.2535842879718987,0.4992240644846039,0.505729373779319,1.9943245609734392,1.0075849381121518
0.001,15,0.7582197273456295,0.7616121308858739,0.25033777780284616,0.24778767038144894,0.49914887112631945,0.49406420810896323,1.9939015018317563,0.9929845245727564
0.001,16,0.7589350252991728,0.7581480596063431,0.24736351477215968,0.24986857839632334,0.49326880469174506,0.4982641644185266,1.9941049315461197,1.01179159914195
0.001,17,0.7522623528469609,0.7577319587628866,0.2567912851362615,0.2516962661561094,0.5083425558463505,0.4982564854834803,1.9795942669028195,0.9938871739080503
0.001,18,0.7617900862933975,0.7607335060793303,0.24553087503227905,0.2487226428317929,0.4926087959054203,0.4990124422587415,2.006300819970844,0.9972493512489281
0.001,19,0.7592875522676101,0.7565663801337154,0.24836101138812644,0.253525007627674,0.4944056419033179,0.504685471500283,1.9906733312930707,0.9952743792511036
0.0014030037231905735,0,0.7585431474119584,0.7594134757142288,0.2479541238159837,0.24889443201678402,0.49481543502200986,0.4966919071865909,1.9955926822545265,1.0089540969593216
0.0014030037231905735,1,0.7575478865917543,0.7554915376305366,0.2512648394926528,0.2530254113251723,0.5020761058599831,0.50559407141196,1.9981948404470822,0.9970283699613687
