dprime,replicate,sigma_meta,mean_conf_R1,mean_conf_R2,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,meta_d,M_ratio
0.5,0,0.001,0.6260640211005875,0.6239740561316411,0.9996927959342834,1.0043295014877933,0.5030752466013062,0.5054085751990878,0.5032298408544066,1.0128517459745225
0.5,1,0.001,0.6305035855935259,0.6312153041255641,0.8952552513743028,0.895553720220554,0.49722476255865594,0.49739053215451207,0.5553999954709767,1.1262898123542195
0.5,2,0.001,0.6297882560140896,0.629252108566175,0.955882115461245,0.9582435718893318,0.49802945531775195,0.49925981086014976,0.5210155596199602,1.0234950866351495
0.5,3,0.001,0.6252818035426732,0.6290937996820349,1.010782794623509,1.0093049818888866,0.5011346169836738,0.5004019342325646,0.49578863000960927,1.0030594659054948
0.5,4,0.001,0.6290193888135323,0.6251303441084463,0.9175817446073234,0.9237108257118605,0.5013267404696371,0.5046754037034796,0.5463564891258582,1.076554431534755
0.5,5,0.001,0.6312025392743782,0.6289275616263789,0.9882331229457934,1.0014382113479547,0.49412416752287736,0.5007268133584409,0.5000076966151044,0.9656989190807435
0.5,6,0.001,0.6280856171234247,0.6267146570685863,0.9396176010228977,0.9440351549974302,0.5002064761480282,0.5025581659252195,0.5323511134779589,1.0951532026088935
0.5,7,0.001,0.6234008097165992,0.6299604743083004,0.9887929025345905,0.9876301522486501,0.5028107020655062,0.5022194323606954,0.5085096189269184,0.9893451076952859
0.5,8,0.001,0.6269053667831057,0.6337471783295711,0.9812960039605427,0.9508536865435027,0.5053631650782375,0.48968550429076907,0.514995641517519,0.9980103528105263
0.5,9,0.001,0.6292188813708612,0.6296207489110018,0.9681320995179602,0.9683859596786387,0.49894296156175494,0.49907379261306967,0.5153666135129515,0.9866824735979799
0.5,10,0.001,0.6263982102908278,0.6267222044216597,1.015823261777135,1.0127356351587657,0.5028396198485892,0.501311223075809,0.49500699459165254,0.973392398651303
0.5,11,0.001,0.6296856949368601,0.6275856528899064,1.101215189964963,1.101228568320431,0.49728647811134175,0.4972925195057344,0.45157974812094975,0.9111586421910329
0.5,12,0.001,0.6288680217124292,0.6279633294293445,0.976287278080542,0.9632936092370438,0.5024606617465204,0.49577327823533146,0.5146647641812948,1.0760535384066505
0.5,13,0.001,0.6246590726776833,0.6258177756502313,0.9823302914736878,0.9832667797838748,0.5037522402031069,0.5042324840561933,0.5128135053713756,1.0489363445658677
0.5,14,0.001,0.6262098879473071,0.6241584000637425,0.9587760735247945,0.9705680013855815,0.5017834242531791,0.507954827674605,0.5233583086908381,1.0399267310628646
0.5,15,0.001,0.6251647166872979,0.6254758184076612,0.9967219719501287,0.9926610328482682,0.5045284894642238,0.5024728916861803,0.5061877872292636,1.046663131558416
0.5,16,0.001,0.6290444843407141,0.6285542410266693,1.00042483340982,0.9974715216728515,0.4991763836646674,0.49770278622539776,0.4989644069142991,1.0156724032587854
0.5,17,0.001,0.6266078942095772,0.6225194649630664,0.935666875429032,0.9496081725582449,0.5022599189893725,0.5097435169990964,0.5367935236128466,1.0813034193092907
0.5,18,0.001,0.6287519111611813,0.6301200986240356,1.005327084055133,1.0102858841518843,0.4966272081637343,0.49907683384969326,0.4939956518037058,0.9721690957193804
0.5,19,0.001,0.6279472117164239,0.6250695935735305,0.9908361176354529,1.0084615284549097,0.4976518982645023,0.5065043401525982,0.5022544994141985,1.009389999944636
1.0,0,0.001,0.663003663003663,0.6571692653914162,0.4925120599260523,0.4979881297193164,0.49753094091781175,0.5030628138981066,1.010190371769806,0.978631484857117
1.0,1,0.001,0.6620537505014039,0.656441962504986,0.4821184500655417,0.4925442214542204,0.4947016527526522,0.5053995348529939,1.0260998156892769,1.0392363724755784
1.0,2,0.001,0.6565664620046249,0.661048238221366,0.49397438236869123,0.4845965449040323,0.5070406896737868,0.4974147954058927,1.0264513864918265,1.014151434212966
1.0,3,0.001,0.6554051371630474,0.6607150054411349,0.5104515711133226,0.49615595855342615,0.5078105329571115,0.493588884824741,0.994826074978179,0.9936967403328466
1.0,4,0.001,0.6609700134504312,0.6562980341396327,0.478309669874691,0.47631367852148043,0.5034746312515282,0.5013736262461262,1.0526122781156193,1.0713687594011907
1.0,5,0.001,0.6537454164484023,0.6629472263034587,0.5113209494908713,0.5024102931448426,0.5027375740392694,0.49397649793049553,0.98321333115698,1.0016105622252993
1.0,6,0.001,0.6602273630654265,0.6586426213670397,0.4973213996762067,0.4952014749248206,0.5001942880500883,0.49806211707890197,1.0057767238163329,1.0065945231523772
1.0,7,0.001,0.6516450648055833,0.6576529588766299,0.5029805338714447,0.49128400960974183,0.5133916552561747,0.5014530263290472,1.0206988554896856,1.024704745007224
1.0,8,0.001,0.6626752102523028,0.6620455453455854,0.4915772691675886,0.4932877165652897,0.4931154332387318,0.4948312326917409,1.0031290382359377,1.0113352115126737
1.0,9,0.001,0.6578852254929521,0.6604645603410494,0.5192525914617623,0.5182995300442388,0.4962734370902935,0.4953625527284052,0.9557457107594215,0.9649842122124388
