dprime,replicate,sigma_meta,mean_conf_R1,mean_conf_R2,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,meta_d,M_ratio
0.5,0,0.5,0.6260987693782963,0.6319878263655294,1.3615494666132406,1.3365938021789219,0.498796128150074,0.48965375829830965,0.36634447765661765,0.7257066443067554
0.5,1,0.5,0.6382138395196066,0.6279826894826697,1.2883542410079971,1.338558888969293,0.47959866384340594,0.4982876868733822,0.3722568285785842,0.716074901759955
0.5,2,0.5,0.6357730098255464,0.6319968082984241,1.311842572622523,1.3302141630658342,0.48405834913380136,0.49083730411402704,0.36899118784208496,0.7245562380421607
0.5,3,0.5,0.6344811171056808,0.6308486608583413,1.2949204153336193,1.296335712917665,0.48899304822831186,0.48952749858647865,0.3776240164553504,0.755440903967406
0.5,4,0.5,0.6369138276553106,0.6328542914171656,1.3014562350049839,1.3200431988530708,0.4823447624180176,0.4892334494289515,0.3706192720465706,0.7467212261650397
0.5,5,0.5,0.6313539002557544,0.6322069186418963,1.2728440022282914,1.2687774965338017,0.49185149983487914,0.4902801235142771,0.38641930902280586,0.7555549260056538
0.5,6,0.5,0.6337836212771075,0.6331377479742945,1.2806000193110783,1.2861024510089871,0.4872166802027624,0.4893101336343341,0.38045968519106327,0.7572365206158266
0.5,7,0.5,0.6326400255499222,0.6351649232495692,1.3328340460488395,1.319584286981206,0.4899435427560406,0.4850729934798537,0.3675953088146785,0.7131123670636521
0.5,8,0.5,0.634555475676971,0.6294768047432097,1.2808212622609008,1.297740836423983,0.48772516365515345,0.49416798461761796,0.3807909643803249,0.7191727582973994
0.5,9,0.5,0.6315243001477576,0.6299931888296807,1.2533904051333271,1.2568181344189338,0.49172272485658153,0.49306747137569173,0.3923140969028524,0.7892816474888845
0.5,10,0.5,0.6333118919353542,0.6324922391148611,1.223891429163881,1.2335964677582487,0.4880460001723059,0.4919160372970326,0.39876576348420184,0.7712408016004043
0.5,11,0.5,0.6311343523732904,0.6321797931583134,1.3388781922458124,1.3429378404938896,0.48963561365893893,0.49112025085200023,0.3657058696561725,0.7289061302597737
0.5,12,0.5,0.6296811640295779,0.6273041938340176,1.33494806229136,1.334825458064109,0.4950599211175553,0.49501445385123527,0.37084582921362047,0.7425151015932886
0.5,13,0.5,0.6312762133013781,0.6296414980973363,1.47537387385108,1.4801268768577092,0.49035947180937706,0.4919391934549526,0.332362854257017,0.6561034572935274
0.5,14,0.5,0.6318006740491093,0.6267746052001915,1.2826864944378005,1.306366173655082,0.48944896972744195,0.4984846886241741,0.381581136037428,0.7831528150567546
0.5,15,0.5,0.6307177833512481,0.6264619589244805,1.3006047754913144,1.3095130334830947,0.4936884431623716,0.49706987317256773,0.37958375400849703,0.7459527993699753
0.5,16,0.5,0.6315369897959183,0.6329479768786127,1.260697972140896,1.250283412721339,0.4922419439036286,0.48817555918114275,0.3904519201119295,0.7853654522712981
0.5,17,0.5,0.6334238262535931,0.6304103879448542,1.411323554190882,1.4211392046108888,0.48794958495298885,0.4913432380485271,0.3457389933754294,0.6713874988370858
0.5,18,0.5,0.6316760224538893,0.6302873104549083,1.3930146036855047,1.402611877828821,0.48881332864647076,0.49218104317546096,0.3509032334285766,0.7269704122344847
0.5,19,0.5,0.6337450199203187,0.6298795180722891,1.2566957307739552,1.265244141447849,0.48927916736369736,0.4926073868796735,0.3893378129504485,0.7725126603450948
1.0,0,0.5,0.6526265406246261,0.6521320550363031,0.6810715182869118,0.6797829667682302,0.49256593693627265,0.4916340280705393,0.7232220460124595,0.7214538636577188
1.0,1,0.5,0.6577467597208375,0.6642326980942829,0.672134892305488,0.656578462748234,0.48428663182839665,0.4730779132217541,0.7205199988461342,0.7251650896155653
1.0,2,0.5,0.6556605670621355,0.6588422518400636,0.6519822606758675,0.6497278259090058,0.4861470353612999,0.4844660283087627,0.7456445745277531,0.759615116231832
1.0,3,0.5,0.652262389274599,0.6596759964712487,0.6721808151997629,0.655008565008603,0.49309353903593556,0.4804964439857695,0.7335727647766843,0.7421141617033034
1.0,4,0.5,0.6625326108769818,0.661271676300578,0.6113836427098689,0.6165547280996808,0.47906581331779835,0.4831177539569456,0.7835764319673469,0.7889862787083917
1.0,5,0.5,0.6553097345132743,0.6597454256165474,0.6734777369691178,0.6681108894001937,0.48681836332982237,0.4829389775590287,0.7228425478779342,0.7114409101854446
1.0,6,0.5,0.6553054662379422,0.6605493630573248,0.6794905167069221,0.6721573697560357,0.48549342625745057,0.48025392025861885,0.714496250235165,0.7193387130151905
1.0,7,0.5,0.6549169554307563,0.6570521833447154,0.63215844097564,0.6249010730580962,0.49230569339804775,0.4866538768386152,0.7787694689930093,0.7888217992169357
1.0,8,0.5,0.6601821026031848,0.6521600382943077,0.6357248870715392,0.6537958581420622,0.4808591397183337,0.49452793227241343,0.7563950216475037,0.7688114895169195
1.0,9,0.5,0.6552894211576846,0.6499398797595191,0.6437593263301213,0.6531076915610234,0.4907314842353177,0.497857652288038,0.7622902910515186,0.7586225337955042
1.0,10,0.5,0.6566277075272249,0.6577754602703462,0.6497537430002169,0.6456344483440032,0.48818489015414007,0.4850899061991872,0.7513383268866788,0.7486526225601288
1.0,11,0.5,0.654627898651605,0.660042640492377,0.6412644521259732,0.6264733829378613,0.4930843186648805,0.48171109464043,0.7689250776807703,0.7687699203413009
1.0,12,0.5,0.6575732083483555,0.6572672444781723,0.6357566140375491,0.6377327511073916,0.4859669876268215,0.48747753011708383,0.7643915562915705,0.7687980984482178
1.0,13,0.5,0.656736008909749,0.6585140190675409,0.6936135526980283,0.6852788851365713,0.48590840216790654,0.4800695817157471,0.700546291631432,0.6961313691181571
1.0,14,0.5,0.6531531531531531,0.6542506221401622,0.6591326268454072,0.6545566116003647,0.4932235686343853,0.48979937374953014,0.7482918437749644,0.7494326492929547
1.0,15,0.5,0.662713567839196,0.6544079601990049,0.6117525172425752,0.6316695851481284,0.4783261012953177,0.49389915276952967,0.7818947823072863,0.7862047664317914
1.0,16,0.5,0.6526784997188981,0.6612080643876006,0.6497351617070697,0.6360490778975338,0.49216311676343893,0.48179614563278683,0.7574826571958385,0.7624482040055727
1.0,17,0.5,0.6579370826293346,0.6613634555723491,0.6320006438816895,0.6297645526749315,0.4845435193890922,0.48282914850436826,0.7666820027477673,0.7676604008897232
1.0,18,0.5,0.6582435625325378,0.656957928802589,0.6520536182335842,0.6557504679631289,0.482846475651223,0.485583997249153,0.7405011829537209,0.7592915482111393
1.0,19,0.5,0.6620876926763039,0.6601089830915938,0.6521263838418275,0.6546239468236666,0.4785790841326273,0.4804119825308955,0.7338747457405528,0.7351674793648153
1.5,0,0.5,0.6942825201629003,0.6982046966418209,0.4369329229205441,0.43000499716153917,0.4814797970989312,0.47384554453113203,1.101953576490934,0.7232574559284973
1.5,1,0.5,0.6928602961833287,0.6970059402782761,0.4307031675849913,0.42617289006624653,0.481910639459103,0.476841744915729,1.1188927217815432,0.7517744525191757
1.5,2,0.5,0.6920035149384886,0.6980852427495594,0.4205864479419862,0.4113554291068566,0.4873178752444259,0.4766222370300031,1.1586628091061182,0.785958220038915
1.5,3,0.5,0.6959181225762603,0.6978428782967143,0.420992738103501,0.4182332158599546,0.4800320793447688,0.4768855661613465,1.140238383937998,0.7631408053574923
1.5,4,0.5,0.6925758243519372,0.7001317838744459,0.42354580590858504,0.4135177629944744,0.48765159135876907,0.47610575377270276,1.1513550236028547,0.7569468180806362
1.5,5,0.5,0.6958071362780825,0.6937152902632946,0.42292464765133336,0.42619740693250496,0.47842130752805123,0.48212352205543324,1.1312211529522165,0.7645443038926185
1.5,6,0.5,0.7028292448677418,0.6955739474631162,0.4290826737804437,0.439758655969552,0.46440461196650995,0.4759594373390002,1.0823196561978639,0.718500106994231
1.5,7,0.5,0.695177361498605,0.6948615014050582,0.4198796046835356,0.41864732287307815,0.4834861518266029,0.4820671946211129,1.1514875846160895,0.7684051304013323
1.5,8,0.5,0.6946748407260488,0.6943656910114603,0.4277265023887813,0.42941776398789155,0.4807679162441107,0.48266890743892066,1.1240077796421357,0.7444600599770634
1.5,9,0.5,0.6981222532960447,0.6987985582699239,0.42325953786117104,0.4217457365072506,0.47637027872991594,0.47466652510264307,1.125480316727476,0.7447133962258081
1.5,10,0.5,0.6908377068226433,0.6887655257797836,0.42250996989949025,0.4265269701310876,0.48817529104432505,0.49281660224853563,1.1554172110079575,0.7815923993582254
1.5,11,0.5,0.6907034571268148,0.6894199313811538,0.4299496425285444,0.43357143903536455,0.4876135846089366,0.4917211288483703,1.134117897485085,0.7534786588282613
1.5,12,0.5,0.6941652316687358,0.7021854648607615,0.424613990044889,0.41367726587720566,0.4848048918562757,0.47231783890539414,1.1417544009914122,0.7459005207225105
1.5,13,0.5,0.6914740462289051,0.691045851004241,0.4290217692712977,0.42941818059904796,0.4869759204139871,0.48742588073073645,1.1350844066517316,0.7593547401435063
1.5,14,0.5,0.6958486642137258,0.6980716914706353,0.42910260874035366,0.4257163966209195,0.47718919009187794,0.47342350844408854,1.1120631298250183,0.7487262363324529
1.5,15,0.5,0.6925008970218873,0.6973953525705342,0.42383128511337165,0.4151158268958044,0.48827324106278863,0.4782326301387967,1.1520462462608896,0.7661304369099828
1.5,16,0.5,0.6952216788262647,0.6981719485910434,0.4314127064111663,0.4282588915907146,0.4788624096001261,0.4753617167788194,1.1099868003047109,0.7332927395786663
1.5,17,0.5,0.6929349988065876,0.6960823747083903,0.4317153279175632,0.4242377255519411,0.4846501726146489,0.47625570282659807,1.1226151615983246,0.7539204749118884
1.5,18,0.5,0.6968391383128649,0.6926286509040334,0.43241680444162295,0.44215357360284496,0.472945098070643,0.4835944465662263,1.0937250662155786,0.7275705631486177
1.5,19,0.5,0.6935838496901859,0.6976185711426857,0.42598925313176833,0.42048708523929174,0.4843491078551373,0.4780931516534303,1.1369984202519703,0.7524022887259116
2.0,0,0.5,0.7435208216320308,0.7418042593921991,0.31190300821652633,0.3157935348179291,0.4669344150273682,0.4727587280827694,1.4970500531473472,0.7383055816923424
2.0,1,0.5,0.7415609288963371,0.7441254310690513,0.30624214202021877,0.30207017410590675,0.4805949533216202,0.4740477592881298,1.5693299104794345,0.7789629128793848
2.0,2,0.5,0.7408057439170324,0.7375451263537907,0.3150670467662784,0.3176723671482745,0.47211595474385715,0.47601992798442316,1.498461865782111,0.7519431348929752
2.0,3,0.5,0.7426562186055857,0.7429822815050766,0.30892799191034415,0.3102994866027598,0.4664064992932669,0.4684771243419498,1.5097579743716636,0.7653326071700353
2.0,4,0.5,0.7407732864674869,0.7430299631469316,0.3184137091968748,0.31505685235739517,0.4684189594729799,0.4634806815583296,1.4711017331962835,0.7381005465651322
2.0,5,0.5,0.744748109319355,0.7437722419928826,0.31018260467499126,0.31148215593283357,0.46469654578870523,0.4666434537438675,1.498138640868057,0.7467769381735097
2.0,6,0.5,0.7439024390243902,0.7420628589661774,0.3037037575747927,0.30676897130394654,0.47256666162621574,0.47733617067254475,1.5560119025193075,0.7751627827400234
2.0,7,0.5,0.7472562685251942,0.74386833905888,0.3044788270158398,0.3090287980616353,0.460844822824565,0.46773144486330354,1.5135529368043403,0.7591490595992272
2.0,8,0.5,0.7401260671826378,0.7446859709633432,0.3142931907755137,0.3078272517448853,0.4761823166267389,0.46638584022464247,1.5150895106946676,0.7539056060704584
2.0,9,0.5,0.7434286857371474,0.7378524295140971,0.3117507450480868,0.31838707894483953,0.46738118801661793,0.47733047497104303,1.4992143417156083,0.7474368306274941
2.0,10,0.5,0.744926842881633,0.7445519123489986,0.31257882586462676,0.3115135828637144,0.462475550753034,0.4608994720081925,1.4795485569880709,0.7429997577697205
2.0,11,0.5,0.741299907893156,0.7411402772783571,0.31281763811306307,0.31405137002502453,0.47017261127183385,0.47202694070848367,1.5030246187777214,0.7530596200028724
2.0,12,0.5,0.7436123348017621,0.7383539752297243,0.3122051469124827,0.3192087125260087,0.466719203362904,0.47718891725509993,1.49491194484931,0.7411737130890252
2.0,13,0.5,0.7419251165032942,0.7423928628325633,0.3102202563909215,0.3117170424071668,0.46820243726219635,0.4704614736933407,1.5092581081236518,0.7607315182780534
2.0,14,0.5,0.7420472190150098,0.7395410521239401,0.31724924614723304,0.317942513912925,0.4705779554648115,0.4716062842370021,1.483306772765095,0.7343544848456013
2.0,15,0.5,0.7401195219123506,0.74,0.31729161764335756,0.3155585154634133,0.474005235375695,0.4714161360706576,1.4939103620080088,0.7451980435868336
2.0,16,0.5,0.7386759581881533,0.7447165514761696,0.3143080271512411,0.3078585083832035,0.4761362979638722,0.466366105272025,1.5148715808481763,0.7611309136829013
2.0,17,0.5,0.7402230187176424,0.743471273603857,0.3124664924420605,0.3065646591127647,0.47595510295318694,0.4669653144228907,1.5232196554369475,0.768275518517337
2.0,18,0.5,0.7425329751834182,0.746777347647364,0.3062714760010561,0.3021763821268938,0.47317330009676256,0.4668465957364887,1.5449473332447419,0.7726515484473369
2.0,19,0.5,0.7444212554182051,0.7379604528783288,0.30716795818165077,0.31642736671140365,0.46822970186283835,0.4823442277430035,1.5243442207794995,0.7547511071278082
