dprime,replicate,mean_conf_R1,mean_conf_R2,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,meta_d,M_ratio
0.5,0,0.6296088938654723,0.6315515723773706,0.977354945541136,0.9713973969903585,0.4974943393068239,0.49446182108641795,0.5090211509917456,1.0500585011596273
0.5,1,0.6264583666293752,0.6255806503283677,1.0236758193188198,1.0246365413409475,0.5023762335476234,0.5028477147547149,0.4907571557975429,0.9721607678693747
0.5,2,0.6294684238100996,0.6280223925040695,1.0316554433936744,1.0467776200128882,0.49510803481075744,0.5023654105130277,0.4799160785524269,0.9231687169169162
0.5,3,0.6288750751955083,0.6276481149012567,1.01297766668255,1.0203037762272789,0.4977035897982848,0.5013031074772957,0.49132730776606215,0.9647771477803251
0.5,4,0.6307521421770866,0.625242013552759,1.0262181865735416,1.0297941716279007,0.49856112101577893,0.5002984193220871,0.48582370448962087,0.9718955429092204
0.5,5,0.6305410821643287,0.6287025948103793,0.9226016425672582,0.9308819682642581,0.4964303070381029,0.5008857561056971,0.5380765480285961,1.0841130238474952
0.5,6,0.6308743606138107,0.6271220371556694,0.9599075263099995,0.9691623991257575,0.4969734080959466,0.5017649380701125,0.517730504735568,1.0123040543330235
0.5,7,0.6266084098288371,0.6273500179619207,0.9946576553562617,0.9956971680494624,0.5013193367416618,0.5018432635531468,0.5040119422416768,1.0031450488643707
0.5,8,0.6284881632001278,0.6359264157749188,0.9719356031784697,0.9476757324696035,0.501018818548082,0.4885132042656782,0.5154856112993768,1.0000104888342731
0.5,9,0.6275660995287163,0.6281147343962824,1.0171872783666573,1.0130870189883163,0.501780717206942,0.49975805025528464,0.4933021950615362,0.9316647018499931
0.5,10,0.6329619424144404,0.6245843182819825,0.9155217141042021,0.9358959762666756,0.49448302137406097,0.5054873772043591,0.5401106426600607,1.08662783527398
0.5,11,0.6266784594355552,0.6297460797580196,0.9111934145830474,0.9103832751842091,0.5020324088829521,0.5015860533371146,0.5509614104406987,1.0655977988842773
0.5,12,0.6299678197908286,0.6286396181384248,0.9523677907703904,0.9643781959999488,0.4955976217091341,0.5018476527635413,0.5203846943503148,1.0372040081334277
0.5,13,0.6272561024091595,0.627706673106335,1.0427808337892954,1.0318911785425802,0.5026802214207807,0.4974307824847743,0.4820574037538864,0.9651851899780449
0.5,14,0.6288795686039544,0.6253554976967755,1.075356520882808,1.0839230804921527,0.49817864353218816,0.5021472594870321,0.4632683522700092,0.9145184658451091
0.5,15,0.6291927459476809,0.6306827245174669,0.9265098394937048,0.9270630673994392,0.49772932501063216,0.49802652396131863,0.5372088927653682,1.1025614657257419
0.5,16,0.6286874477487161,0.6268236807202283,1.0318579430379167,1.0304646030192168,0.5003513051105358,0.4996756699598612,0.48490328391274484,0.9529252984054446
0.5,17,0.6257174744897959,0.6266056518946692,0.9652001104899451,0.9571746777080102,0.5053568310437285,0.5011548969221354,0.5235772619081077,1.0531373311714072
0.5,18,0.6299904183966784,0.6315325424815647,0.9239155506857929,0.9166875401386834,0.49963630219910116,0.49572752887091837,0.5407813536943253,1.050138536385202
0.5,19,0.6282277465918203,0.6286113328012769,1.0115790847142587,1.0145343109167015,0.4977952962698246,0.49924955498792073,0.49209726040395263,1.0194837612635934
1.0,0,0.6561256881102584,0.6599370843786087,0.5239422042459553,0.5212786850664295,0.49881667381258005,0.49628088309558843,0.952045225160788,0.9577345421086206
1.0,1,0.657851701168681,0.651891371495046,0.514656105154807,0.5216631983615513,0.5008821588191392,0.5077017183993862,0.9732366016885692,0.9708571667756242
1.0,2,0.6642073778664008,0.6649147442326981,0.49002345198971275,0.487272319975002,0.4921027737176318,0.48933996779516953,1.0042433106404929,1.0107175255685856
1.0,3,0.6562236074803941,0.6601949472846628,0.501668053849025,0.4999153625040394,0.5003510451629684,0.498602955087104,0.9973747407753952,1.0160617478114518
1.0,4,0.6596440826749661,0.6611195765498437,0.5128877239944768,0.5084962986314264,0.496791663929783,0.49253805556469615,0.9686167960127134,0.97989494171521
1.0,5,0.6619305639173189,0.6617500498305761,0.4797426143728733,0.4825546627423413,0.49528198864335565,0.4981851222547236,1.0323910651356158,1.0395187392352374
1.0,6,0.6610217216411907,0.6591089896579156,0.49093910977248495,0.4981887403368777,0.4957202529281308,0.5030404859783797,1.0097387701661447,0.9938118222363467
1.0,7,0.6630627009646303,0.6567277070063694,0.5108098775127006,0.5247922259273127,0.48819927602360286,0.5015627066729127,0.9557357786439133,0.962213230322769
1.0,8,0.6577846815629107,0.6617924717792151,0.48810369507701723,0.47898794143662304,0.5043771832730948,0.49495750833326874,1.0333402274152212,1.0466785484630106
1.0,9,0.6592595563755966,0.6602975786828353,0.4956171140260359,0.49623612078098583,0.49722969393231947,0.4978507147376858,1.0032536808367736,1.0197224130950195
1.0,10,0.655688622754491,0.656432865731463,0.49595644614034884,0.493349109302316,0.5071728489291502,0.5045065453402886,1.0226157011892678,1.0176953890690945
1.0,11,0.6553512306035343,0.6590188921423128,0.5122154097160428,0.5043355343594874,0.5055546266318535,0.4977772201575005,0.9869961290546062,0.9834680516502842
1.0,12,0.6569746629012371,0.660002413612776,0.5071641123888004,0.49785544915943314,0.5045981589916281,0.49533659214675063,0.9949405856319635,0.9947398218141641
1.0,13,0.659215639145936,0.6574270080281184,0.4998524993610467,0.5042494464735778,0.4977414735889372,0.5021198510860618,0.9957767025776445,1.0015171270791965
1.0,14,0.657849727536693,0.6641860090912748,0.5028880386746496,0.4882736835560654,0.5042142851000366,0.4895613881296986,1.0026372598339828,0.9963185256347327
1.0,15,0.6541098620744639,0.6579433250381311,0.5098289027237253,0.5009810772119893,0.5082430390689914,0.4994227354274897,0.996889419869565,0.9984092238878425
1.0,16,0.6606633165829146,0.6604179104477612,0.4869663895389259,0.49117458030695915,0.49578707839091213,0.5000714944225201,1.0181135475496326,1.0237256239135823
1.0,17,0.6556501485824432,0.6598135309586421,0.4948149774752081,0.49194837559879034,0.5036965662455161,0.5007785108355686,1.0179493127221537,1.0246223037328928
