c,replicate,sigma_meta,d_prime,meta_d,M_ratio,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-1.0,0,0.5,2.0209718891266957,1.7328800318170225,0.8574488547516791,0.282039081428512,0.2890127822272244,0.4887398923994836,0.5008244792614388,0.6110386121133031,0.8238444270143077
-1.0,1,0.5,2.0138107763173365,1.7241494639920987,0.856162596937264,0.28469338626699464,0.2861738038636727,0.4908539493343343,0.49340641054013124,0.6095201535508638,0.8259905341446924
-1.0,2,0.5,2.0056767836807707,1.7199506445317794,0.8575412840823567,0.2839234449882556,0.28766431888001354,0.4883343122052335,0.4947684306664746,0.6104275607505383,0.8253594983241431
-1.0,3,0.5,1.9636962980786985,1.7268462113765017,0.8793855817042924,0.2792307174178543,0.2880550307971252,0.4821885064729643,0.4974267385999572,0.6126320660137271,0.8253449626009235
-1.0,4,0.5,2.0033352739121995,1.6924505258821434,0.8448164158648558,0.29053736126961965,0.28430675602318295,0.491720109869178,0.4811751187432822,0.6089184641272755,0.8280073660835184
-1.0,5,0.5,2.028970961287922,1.718679584078817,0.8470695820051843,0.2782285409684287,0.2861041874544215,0.4781857130704751,0.491721425897373,0.6195360943121795,0.8259198094052035
-1.0,6,0.5,1.9736091908475752,1.7062337773718366,0.8645246410912217,0.2840589337913024,0.29019968154311027,0.48467094759895035,0.4951484988314051,0.6128342245989304,0.8238417772961257
-1.0,7,0.5,1.9880571817384098,1.7286607172425337,0.8695226340174718,0.275828781099733,0.2850958477524654,0.47681437857199827,0.49283399265864497,0.6178348849734554,0.8268248520390239
-1.0,8,0.5,2.0172622081946248,1.7033069837199712,0.8443656837473638,0.28265218636665934,0.286807403280142,0.4814434430020497,0.488521052989656,0.6157813702848345,0.8265063496352337
-1.0,9,0.5,1.9940403849279547,1.716068616190028,0.8605987266662255,0.2808923043648069,0.284500614915617,0.4820304680497423,0.48822257654345497,0.6147239263803681,0.8273268398268399
