c,replicate,d_prime,meta_d,M_ratio,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-1.0,0,1.9834138398865635,1.9565379083287122,0.9864496601680522,0.2587571403996007,0.24743457901214355,0.5062681542425537,0.4841151336686148,0.5977721828030823,0.8433307131434148
-1.0,1,2.0249172508575426,2.0002291605018367,0.9878078522244548,0.2527578786214903,0.2465300303942518,0.5055736793652886,0.4931165557339866,0.6021164021164022,0.8418003807451727
-1.0,2,1.9712560702888824,2.016198272998059,1.0227987643952268,0.24677441052406282,0.24834838032245657,0.4975461403187295,0.5007195755080021,0.6039611473668235,0.8406387485742219
-1.0,3,1.9953023262717422,2.0088560334907406,1.0067928088092413,0.2518707158265305,0.25097174944308337,0.5059720071477575,0.5041661131044645,0.5993004866180048,0.839204298740773
-1.0,4,1.979156794172436,1.986831437914917,1.0038777340759857,0.253212150690924,0.25433089790368174,0.5030898614547772,0.505312623588164,0.5971600555641303,0.8389125857135143
-1.0,5,2.0209718891266957,2.0310852190996056,1.0050041913137546,0.24672761086349015,0.2527669289266555,0.5011248035685941,0.5133911732201305,0.6015199201658095,0.8380439780380278
-1.0,6,2.0138107763173365,2.024145399495795,1.005131874007228,0.24896044387477487,0.24777558492688262,0.5039321371255566,0.5015338103371291,0.5991554702495202,0.8415415821501014
-1.0,7,2.0056767836807707,2.0221075181216652,1.0081921147886757,0.24720004420583347,0.2510780988426907,0.49986506786862384,0.5077069113054995,0.6012765302983697,0.8396042815439507
-1.0,8,1.9636962980786985,2.0027732950831547,1.0198997151660822,0.24700860791433304,0.25230378124952885,0.4947022435864918,0.5053072753350584,0.6021439037556875,0.8397915372775633
-1.0,9,2.0033352739121995,1.9650084106774737,0.9808684728243818,0.2538168801904013,0.2493143279427192,0.49875230434605516,0.4899047513098451,0.6034113507725256,0.8419812598169312
-1.0,10,2.028970961287922,2.019145240209892,0.9951572884651868,0.25030392533049023,0.24681880333582068,0.5053999794369115,0.49836301194982374,0.5994028936691419,0.8420283184882368
-1.0,11,1.9736091908475752,2.0058364647421763,1.0163291061087736,0.25245889730957305,0.24438520669210947,0.5063912620721421,0.4901967590265869,0.5965622612681436,0.8440531021403413
-1.0,12,1.9880571817384098,2.041800726370892,1.027033198605227,0.24516015690835602,0.24652857619039173,0.5005681864526832,0.5033622259367236,0.5991382626760021,0.8421209091154771
-1.0,13,2.0172622081946248,1.9797219071807137,0.981390470281249,0.2501634175571571,0.2510855806894583,0.4952539981131003,0.49707962466811134,0.6052347959969208,0.8408538232910024
-1.0,14,1.9940403849279547,2.0056100888425843,1.0058021412214515,0.2499165455636123,0.2451764739232931,0.5012351451510683,0.4917284096474074,0.6,0.84375
-1.0,15,1.9807410922894826,2.00921002447107,1.0143728689693012,0.24945384987872984,0.24655025213279685,0.5012051758192454,0.49537123812108524,0.6012027099033265,0.8422266229010118
-1.0,16,1.9930770556218411,2.027324581597205,1.0171832423030323,0.24723530777213845,0.25106826508101066,0.5012262168852069,0.5089968654576962,0.6002141982864138,0.839092287694974
-1.0,17,2.004800988014463,2.01467567753728,1.0049255210775794,0.25392522006312385,0.24975646796192436,0.511576964774477,0.5031782813105079,0.5957155879671833,0.8397220110761212
-1.0,18,1.9940453557786673,2.025889973543773,1.0159698562887856,0.24567185557703125,0.2508323777284871,0.49770414899540144,0.5081587990802864,0.6039777489903223,0.8389782249098354
-1.0,19,2.0056889260971067,1.9816896568108557,0.9880344010609106,0.2492520946960264,0.24971176956933053,0.4939402979975555,0.4948512309394781,0.6056826056826057,0.8417583011374382
-0.9,0,1.9866413117437203,1.9886269609311644,1.0009995006022006,0.2496808162875755,0.255785728713061,0.4965220028967736,0.5086623963402177,0.6189289275032047,0.8312197563824462
-0.9,1,2.001287256644017,2.025373079218544,1.0120351651141357,0.24770531155983996,0.24605680498773633,0.5016956696127418,0.49835682878068827,0.6199326693785945,0.8354317049969224
-0.9,2,2.0140492198432254,1.988525599186507,0.9873272110704895,0.24777537847736,0.24828948567219264,0.49270768295035583,0.4937299982680065,0.6262405856268037,0.835330930628894
-0.9,3,1.9884108665707143,1.9911679145461154,1.0013865584933943,0.25515421939316607,0.25000599964090486,0.5080548949167325,0.4978039249289974,0.6140634898289575,0.8340457631380438
-0.9,4,1.991931962974729,2.018647435817419,1.013411840032324,0.25114149937273816,0.24867577823545725,0.5069661437361199,0.501988722084907,0.6154548647699333,0.8339717601006571
-0.9,5,1.9844712963813,2.023343321051306,1.0195881012443413,0.24652462066000855,0.24700219295065517,0.4988039446871351,0.49977023739173415,0.6209875676055349,0.8349411402846517
-0.9,6,1.986240153508643,2.0174463136024054,1.0157111717022926,0.2485153706735608,0.2477984738246826,0.5013664184389106,0.499920117533908,0.6200112029127574,0.8343132314239319
-0.9,7,1.9900562654244496,1.9846745030612885,0.9972956732647892,0.24904772708398468,0.24844193911814777,0.4942786739889507,0.4930763820588928,0.6256549989520017,0.8346736906996945
-0.9,8,2.0030087584907226,1.9874726122364228,0.9922435954468785,0.25873774917908965,0.25091203507160914,0.5142341902451376,0.4986807977853279,0.6115476357513681,0.8332960331225872
-0.9,9,2.014333356895585,1.9761350518733827,0.9810367509968301,0.24962777158394206,0.24546269387962702,0.49329818934807024,0.485067433302797,0.626437587657784,0.8372971460548405
-0.9,10,1.9761115620449972,1.982902688240194,1.003436610728682,0.25463084166220346,0.25187503407842965,0.5049081804408464,0.49944368217470864,0.6164681149264191,0.832633641197873
-0.9,11,1.9908088637135013,1.9994621097722476,1.0043465981172122,0.25376903577159127,0.2474196692221384,0.5074015716587349,0.49470625382204847,0.6164556076401035,0.8350463494552889
-0.9,12,1.9964963760299168,2.0115009099592513,1.0075154325895503,0.24539970301257616,0.24859078595654674,0.493621725913527,0.5000405921590793,0.6240192266911713,0.8347697542743983
