tauN,replicate,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
-1.5,0,0.7472332952411505,0.25057468456117166,1.5125814903880377,0.5072239583552446,0.3129368534568838,0.7549973961462966
-1.5,1,0.7424011895892567,0.2506262005965871,1.4924305512737175,0.5038275853611516,0.318334533237341,0.7567005360428835
-1.5,2,0.7521795316749367,0.25112736423475396,1.4977757761764656,0.5000567910273963,0.31155131457100294,0.759209951118706
-1.5,3,0.7599136067507046,0.2465896217224889,1.4966685039605825,0.4856643136233213,0.3122099535925748,0.763197888337866
-1.5,4,0.7537043993967386,0.24605387092712364,1.5045576898282387,0.49117697058915516,0.3122200895713372,0.7619238156209988
-1.5,5,0.7413820181672519,0.2512984222899966,1.5047435819598884,0.510047018718239,0.31490046249748643,0.7579073005768848
-1.5,6,0.7568682777593766,0.2542721940579133,1.492034692020257,0.501253581235607,0.3126806938644395,0.7578498565508448
-1.5,7,0.756899119244148,0.25469579601393305,1.4831780025261163,0.4990879132756569,0.3140024882610266,0.7568073994338795
-1.5,8,0.7481293548354438,0.2500203181888436,1.5034243657498032,0.5024353554209954,0.31402841705023016,0.7585048970617629
-1.5,9,0.7531963076308261,0.25150537754847,1.4933668761064525,0.49866123371601195,0.31616737803661893,0.7572901207332237
-1.5,10,0.7486874476321347,0.24618587715151635,1.4948948583211694,0.4915562603714379,0.3175893818007892,0.7610292641804826
-1.5,11,0.7507843792758294,0.2417792454667065,1.5333106164320671,0.49378049695788445,0.30874765009399624,0.764630585223409
-1.5,12,0.7607173832631814,0.2489097204265137,1.5068057645533932,0.49303277385773536,0.31161845565383695,0.7590554975503976
-1.5,13,0.7543198746489864,0.24826882932307595,1.5034052773645976,0.4948148401672827,0.31378498143638467,0.7601298545148492
-1.5,14,0.7496058523776677,0.24725345801558218,1.533635251620982,0.5058613377885393,0.3080583883223355,0.7587117423484697
-1.5,15,0.7464419377893475,0.249631964647884,1.508972413217899,0.5046444057345387,0.31618058330003995,0.7583099719663596
-1.5,16,0.7468530965407987,0.2548021715943089,1.4704118153286208,0.5016570533335073,0.3192465588022217,0.7572950624155204
-1.5,17,0.752735724054565,0.25121131098281696,1.4807855451039855,0.4941841687362407,0.3162516540358475,0.7589481664738039
-1.5,18,0.762531183198356,0.24827557875095502,1.5179760965432871,0.4942439105488542,0.31058412975373756,0.7582617116571844
-1.5,19,0.764563542800948,0.25125671661035126,1.4929623905084202,0.4906287146358839,0.3113542873117936,0.7593445775409638
