tauY,replicate,sigma_meta,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
0.05,0,0.5,0.30342411145751963,0.12431471372249751,0.4743454732010209,0.1943422407114909,0.7436850519584333,0.8955564451561249
0.05,1,0.5,0.3152418628195317,0.12851948110872374,0.47379108585018986,0.1931576725336889,0.7396833013435701,0.8945662612035852
0.05,2,0.5,0.3139242440047975,0.13503558006651367,0.46508261411758994,0.20005686650712942,0.7429932735426009,0.8903852301790282
0.05,3,0.5,0.3145580717681863,0.13176730608315912,0.4690840735023924,0.19649772248564557,0.7410201870209094,0.8927560499142846
0.05,4,0.5,0.3076356153949667,0.12799701218765566,0.47673389045561426,0.19835321573080164,0.7424640101805456,0.8926530940693651
0.05,5,0.5,0.31097519212013797,0.13091136557511426,0.470230480505638,0.19795313548436858,0.7429152218103552,0.8919352896310867
0.05,6,0.5,0.31759476121926117,0.1330493513780215,0.4664377385929631,0.19540384841291641,0.7429859919383804,0.8928356653169226
0.05,7,0.5,0.30973151383400777,0.12953061446458008,0.4664079155228632,0.19505313857471326,0.7446604654876442,0.893751753436736
0.05,8,0.5,0.3212746332613011,0.13419219383090591,0.471397930534599,0.19689672298010996,0.7400781000956328,0.8916639897205269
0.05,9,0.5,0.31255910079708316,0.13832829554203543,0.46090034827744064,0.20397921362507274,0.7442244224422442,0.8886856961119504
0.05,10,0.5,0.30968854309317934,0.13782970886308912,0.4664329760663625,0.20759024745719395,0.7441907131677168,0.8873739185902803
0.05,11,0.5,0.31400192682551387,0.13193309195263192,0.47126739823511404,0.19801077532935346,0.7412835975877631,0.8917110692680582
0.05,12,0.5,0.30724312383030417,0.13458880546298665,0.4643615470130063,0.2034150191427676,0.7456143856143856,0.8890890890890891
0.05,13,0.5,0.31216224848351337,0.13209729395305023,0.458982453106252,0.19422700958175218,0.7458570170522777,0.8933967543368775
0.05,14,0.5,0.3068677349248595,0.1294396033948269,0.458561896630089,0.1934255813707897,0.7485476180936737,0.8950121800247594
0.05,15,0.5,0.31140700155889434,0.13165091860349895,0.4711830431419987,0.19919809172403777,0.7432470064049012,0.8912440172143345
0.05,16,0.5,0.32846251616294486,0.13589536759665818,0.469316028076244,0.19417093584823414,0.7374795155681682,0.891877827148633
0.05,17,0.5,0.3208594559475581,0.13155818481804105,0.4709310869367788,0.19309026997139744,0.7389638381096831,0.893249418744488
0.05,18,0.5,0.302924602307455,0.13156834372793041,0.4667260331137448,0.20271173316308547,0.7452602827763496,0.890774378585086
0.05,19,0.5,0.3160855637685887,0.1315645108622378,0.46670194699395245,0.1942556712892663,0.7416570081131849,0.8931502462068137
0.1225,0,0.5,0.31132852507417585,0.1552570289438032,0.4736653967750374,0.23621311988440086,0.7415528396836808,0.8715247175707075
0.1225,1,0.5,0.31278964478742766,0.15284308389689819,0.4711153948280703,0.23020816391080642,0.7416004154847988,0.8740838639913493
0.1225,2,0.5,0.30712140418314043,0.15485279324886458,0.4511631674531255,0.22747967331336175,0.7492981471083661,0.8747307109231629
0.1225,3,0.5,0.31606241892616743,0.16061383854734027,0.4679779372495949,0.23781293933171505,0.742973166653396,0.869303110682421
0.1225,4,0.5,0.3118092448194662,0.15249797380039,0.4744276006827835,0.23203047703410576,0.7417147404018302,0.8733561230645486
0.1225,5,0.5,0.3125574535745214,0.15295713467672845,0.47038495093594795,0.23019362829900245,0.7409214525675892,0.873779804768763
0.1225,6,0.5,0.30886935657690795,0.1558989584362447,0.47278889000681673,0.23863583078996056,0.7405844286345914,0.8705863620078819
0.1225,7,0.5,0.31517832896063513,0.1576406460185551,0.4823995093344035,0.2412785502775074,0.7378121758557409,0.8690141974813508
0.1225,8,0.5,0.31872809202616237,0.161470282705432,0.4800791932616621,0.24321208263811686,0.737026983873543,0.8670434503767838
0.1225,9,0.5,0.31205317955773265,0.1569125785968976,0.4614734834704963,0.23204696823815477,0.7440397483671916,0.8725791638381983
0.1225,10,0.5,0.316144027542432,0.15394235193789216,0.4700108695474599,0.2288658724852822,0.7399375850204049,0.873990242341838
0.1225,11,0.5,0.3092354598372481,0.1563812396962178,0.46988481206904115,0.2376220678716937,0.7428708747196412,0.8709252157238735
0.1225,12,0.5,0.31053434292979665,0.15361191794030993,0.47364020528550266,0.23429543947091389,0.7414144644784711,0.8726537799655821
0.1225,13,0.5,0.3149720583222698,0.1562138108071968,0.47237049574550577,0.23427727413772587,0.7409112748238309,0.8723625319693095
0.1225,14,0.5,0.310890720432266,0.15498987322212754,0.46854692320791125,0.2335869920004057,0.7422263183202437,0.8725043922696055
0.1225,15,0.5,0.3119664455484331,0.15506810437237273,0.47510066554922964,0.23615667852757546,0.7416520210896309,0.8719756449286973
0.1225,16,0.5,0.324019460761619,0.15581182137569694,0.4757508633581941,0.22877517407954762,0.7380687241489023,0.8738332796910203
0.1225,17,0.5,0.3101495506732259,0.1538416391288196,0.46825118951446626,0.2322638558158765,0.7434730538922155,0.873066132264529
0.1225,18,0.5,0.30780616702321034,0.1540164628562853,0.4719611042140119,0.23615439735912616,0.7422312990549416,0.8720632891161899
0.1225,19,0.5,0.30646469385536734,0.15469295698449712,0.46944151764691106,0.23695811606397485,0.7439004879609631,0.8714297143771502
0.195,0,0.5,0.3048601170889042,0.1811470230935523,0.4613599136564114,0.2741387615133178,0.747096877888054,0.8513518894596425
0.195,1,0.5,0.309874847630701,0.18457255853182927,0.46651528470570724,0.2778732134947443,0.7450007998720205,0.8486157785245639
0.195,2,0.5,0.30886475480641434,0.17967374739930284,0.46604769105557386,0.2711106845817699,0.7445932440535679,0.8516309785871523
0.195,3,0.5,0.3152513379060406,0.17955800012252238,0.46829107175323376,0.2667249848256143,0.7416926895668188,0.8535288945727759
0.195,4,0.5,0.31590943973525504,0.17961705138221026,0.4768895539349699,0.27114572956275473,0.7386291094797319,0.8514196342637151
0.195,5,0.5,0.3091751420709051,0.18274846613656284,0.47572151998431306,0.2811913580857983,0.740341455594742,0.8475327371446822
0.195,6,0.5,0.30153072633059425,0.18297792560203271,0.4682222284995546,0.28413134918023997,0.74502567394095,0.8464821314613912
0.195,7,0.5,0.31674714442374297,0.18686779402953146,0.46667602910445194,0.2753196725541607,0.7401701171561547,0.8479422555431488
0.195,8,0.5,0.3039378610582675,0.18385595260938434,0.4772682671237474,0.28870576241057555,0.7435682661242072,0.8448393437362108
0.195,9,0.5,0.3064640993946205,0.18034655065533228,0.46505558863174196,0.27367372373598176,0.7458019225399865,0.8500942677203257
0.195,10,0.5,0.31032074081449473,0.18302879855777293,0.45643017604142805,0.2692049088536892,0.7469130853110969,0.8518119412515964
0.195,11,0.5,0.31256979627462833,0.18175191779462138,0.46555262574638523,0.27070780213640067,0.7430831626711641,0.852014184962346
0.195,12,0.5,0.3083694577382662,0.17989231785445756,0.45840613994255197,0.26741864657353004,0.7467639161623852,0.8533556913003554
0.195,13,0.5,0.3133001676700553,0.176207714619438,0.4741747232048242,0.2666875186425651,0.7414806577170546,0.8535573281766176
