tauY,replicate,m_dist_R1,m_dist_R2,m_dist2_R1,m_dist2_R2,mean_conf_R1,mean_conf_R2
0.05,0,0.2547736892856827,0.024993738926994635,0.5030548997371508,0.04935055446748745,0.7543635419579023,0.9758442494892441
0.05,1,0.25583194777407403,0.024291400929281132,0.5104136632262353,0.04846409152996347,0.7557941444475259,0.9764126176339917
0.05,2,0.2486552347949517,0.023606601010287363,0.5150748110173972,0.048899696658965014,0.7554808769403104,0.9766837306031035
0.05,3,0.2521106306357196,0.02539996251837917,0.49691238086871653,0.050063560656516425,0.7568140884530719,0.9754947031780932
0.05,4,0.25034160990370263,0.02554460818384244,0.5073583106441365,0.05177033597892908,0.7564648249277225,0.975334714695569
0.05,5,0.24859654635656864,0.025095771167794406,0.4989320449577173,0.05036708921361788,0.7587573561791905,0.9756604452260101
0.05,6,0.24700991052127264,0.02506097109112213,0.5010565920714887,0.050835874327553904,0.7603414575770873,0.9754923589105933
0.05,7,0.24881215552404795,0.024481087239333038,0.4922397083108296,0.048432373476450054,0.7601661740033554,0.9763278058159096
0.05,8,0.24998985765592566,0.02460123835142605,0.49985560063933826,0.049190262708772366,0.7589847796637182,0.9760661794233395
0.05,9,0.2530663998633779,0.026855918852883243,0.4899256489926377,0.05199190204782491,0.759886893145884,0.9743682455506006
0.05,10,0.24996232466237783,0.024619981507559296,0.5008248425434095,0.04932862733853783,0.7597283260087895,0.976331597917501
0.05,11,0.24952363462308635,0.023797939493504276,0.5059189805060318,0.04825125806172418,0.7571840230529097,0.976852962341089
0.05,12,0.2527461231678818,0.025699274571684437,0.5024113020080164,0.0510852781296479,0.7582583178014831,0.9749828511479643
0.05,13,0.24475173103373185,0.024046951861025585,0.5036648034393565,0.049485260967285616,0.7605678864227154,0.9763952790558111
0.05,14,0.25896355655648756,0.02449750621443631,0.517754345160324,0.04897866887825877,0.7504783926008611,0.9762401669609889
0.05,15,0.2439832337627297,0.024949592090543482,0.48959462924675173,0.05006567910853425,0.7643475472907983,0.9760459916959437
0.05,16,0.2520722724337438,0.02380085987414535,0.4997324933278016,0.047185130412860425,0.7574082972929681,0.9771455969314368
0.05,17,0.2535327043130807,0.027835821546912564,0.4945704223921494,0.054299795592007025,0.7564885496183206,0.9735165272799682
0.05,18,0.252205206768169,0.02492359374516018,0.49464049048040376,0.04888169753756372,0.7578369277639702,0.9762113834118304
0.05,19,0.24793249410977405,0.02478867495679903,0.49607766827805844,0.04959861399541652,0.7613668005887266,0.9758658139254254
0.1225,0,0.24789528387341336,0.06161818058469891,0.49524355595515,0.12310039298624066,0.7584628358029153,0.9402717456269674
0.1225,1,0.24964736481360658,0.06208910398194777,0.4991424582335104,0.12414033696772402,0.7585695979497037,0.9401070800703213
0.1225,2,0.24963537206811123,0.060205410612136634,0.49845504190561946,0.12021409554664257,0.7597239398412255,0.9417238198371636
0.1225,3,0.24820410931668455,0.060903085257682704,0.49311958462588046,0.12099922192015158,0.7592033796016898,0.9415788427122689
0.1225,4,0.2567593880659555,0.06081107126993499,0.507703305586101,0.12024480246871116,0.7536701468058722,0.9417623295068197
0.1225,5,0.25595472339465064,0.060545113976417625,0.4903135355695776,0.11598179748950395,0.7564390596164647,0.9427694025683976
0.1225,6,0.24199229483556936,0.06149521585997211,0.4891434264185924,0.12430139816863459,0.7640679599951802,0.9404453650958052
0.1225,7,0.24333254162158172,0.05993125831993077,0.49579254079113044,0.12211055141756139,0.7623917228103946,0.9416693265240983
0.1225,8,0.24955190749124273,0.062322919240947884,0.5013456689974509,0.12520571753924015,0.7576680967082314,0.9397023025659443
0.1225,9,0.25120013160154137,0.06078439402059839,0.49925389401880815,0.12080744232448919,0.7580567580567581,0.9418010538080792
0.1225,10,0.25021998180606936,0.05791701218696011,0.49743931128339236,0.11513948025223003,0.7589096011224694,0.9444821392935542
0.1225,11,0.24886984884980723,0.06274003861656499,0.5012259412018537,0.1263589585157286,0.7585395990274623,0.9385412066958372
0.1225,12,0.2555950754559524,0.06318217844977664,0.5099140595958853,0.1260489117404354,0.7548784388995522,0.9394606274007683
0.1225,13,0.24666574314558246,0.061931069337797885,0.49939728893908936,0.12538509698990166,0.759747017852854,0.939643456711168
0.1225,14,0.24657573583207917,0.0592968093421899,0.49515854478898697,0.11907628187918759,0.7613994494754059,0.9422051096939799
0.1225,15,0.25220879941143354,0.06006691463529606,0.49847434607580055,0.118718363766426,0.7564677613135763,0.9421094686376348
0.1225,16,0.2565525772950474,0.057262311528775166,0.5182630225778873,0.11567585469457108,0.7522169642502088,0.9439504285196958
0.1225,17,0.25038210887843143,0.06141443476657628,0.4925669029016856,0.12081820886458697,0.7589737412671645,0.9413405594962939
0.1225,18,0.246828348139641,0.0600422927932426,0.5019928222914655,0.12211239204614566,0.7602758840649045,0.9412047999357868
0.1225,19,0.24827473272015066,0.06218070937051412,0.4991809167606706,0.12502046893104082,0.7600622282500299,0.9395130560346556
0.195,0,0.24674605683436077,0.09879059133295656,0.500974538200869,0.20057694743564677,0.7593501776234383,0.9029542630376398
0.195,1,0.24872493643603785,0.09402821905929283,0.5020357900308045,0.18979010274171285,0.7581847908441999,0.9079565060385989
0.195,2,0.2499069675624145,0.09689643746999549,0.49356394882274934,0.19136956752757742,0.7605887293524777,0.9073088770652479
0.195,3,0.2423398119786233,0.09693429356726721,0.4934560132259332,0.1973790837668687,0.7619544287548139,0.9049138481174218
0.195,4,0.24560903368080284,0.09999121253517317,0.49312305451846367,0.20075797462088002,0.7625953893483559,0.9031276280485363
0.195,5,0.2567138066295187,0.0987933444751404,0.5126264946303697,0.19727838769571823,0.7518548065416832,0.9037705575611713
0.195,6,0.25450680876189996,0.09707277432652728,0.5039860477021288,0.192227956926986,0.7561539996010374,0.9065570483256467
0.195,7,0.24777092944609588,0.0973398534261755,0.49335638139838345,0.19382111517095768,0.760612971632057,0.9059063462230575
0.195,8,0.2510019795706972,0.09704517365581679,0.4958042224064434,0.19169333622394133,0.7585724002720762,0.90670612228576
0.195,9,0.2540760444250392,0.09928590757761961,0.49198647760512776,0.1922547403297319,0.7570228670176425,0.9058804793566111
0.195,10,0.25105675785463316,0.1001676209886873,0.4944504279520023,0.1972777928306875,0.757997997997998,0.9034965034965035
0.195,11,0.2427769697614384,0.10052043848531714,0.4886712623495345,0.20233158694919542,0.7640656262505002,0.9023190723710516
0.195,12,0.2500184508626159,0.09774426867397047,0.5066477109935831,0.19807302147320724,0.7564389697648376,0.9044647143542967
